grand_domaine,domaine_professionnel,code_rome,description_code_rome,date_mise_à_jour_metabase
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1413,Brasseur / Brasseuse de bière,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1414,Horticulteur / Horticultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1415,Marin-pêcheur,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1416,Agriculteur / Agricultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1417,Saliculteur / Salicultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1418,Viticulteur / Viticultrice,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1419,Ouvrier agricole polyvalent / Ouvrière agricole polyvalente,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1420,Chef / Cheffe de culture responsable d'unité de production agricole,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A14- Production,A1421,Palefrenier soigneur / Palefrenière soigneuse,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A15- Soins aux animaux,A1501,Soigneur animalier / Soigneuse animalière,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A15- Soins aux animaux,A1502,Maréchal-ferrant / Maréchale-ferrante,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A15- Soins aux animaux,A1503,Toiletteur / Toiletteuse d'animaux,2024-10-08
"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A15- Soins aux animaux,A1504,Vétérinaire,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B11- Arts plastiques,B1101,Artiste plasticien / plasticienne,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B12- Céramique,B1201,Céramiste d'art,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B13- Décoration,B1301,Étalagiste,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B13- Décoration,B1302,Décorateur / Décoratrice d'objets d'art,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B13- Décoration,B1303,Graveur / Graveuse d'art,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B14- Fibres et papier,B1401,Vannier / Vannière,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B14- Fibres et papier,B1402,Relieur / Relieuse,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B15- Instruments de musique,B1501,Facteur / Factrice d'instruments de musique,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1601,Métallier / Métallière d'art,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1602,Souffleur / Souffleuse de verre,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1603,Opérateur / Opératrice en orfèvrerie et bijouterie,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1604,Horloger / Horlogère,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1605,Bijoutier / Bijoutière,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1606,Joaillier / Joaillière,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1607,Lapidaire / Diamantaire,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1608,Opérateur / Opératrice en bijouterie,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1609,Responsable d'atelier en bijouterie ou joaillerie,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1610,Sertisseur / Sertisseuse en bijouterie ou joaillerie,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1611,Trieur / Trieuse de pierres et perles,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,"B16- Métal, verre, bijouterie et horlogerie",B1612,Concepteur / Conceptrice numérique en bijouterie joaillerie,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B17- Taxidermie,B1701,Taxidermiste,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B18- Tissu et cuirs,B1801,Chapelier / Chapelière,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B18- Tissu et cuirs,B1802,Maroquinier / Maroquinière,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B18- Tissu et cuirs,B1803,Couturier / Couturière,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B18- Tissu et cuirs,B1804,Brodeur / Brodeuse,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B18- Tissu et cuirs,B1805,Styliste,2024-10-08
B- Arts et Façonnage d'ouvrages d'art,B18- Tissu et cuirs,B1806,Tapissier / Tapissière d'ameublement,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1101,Chargé / Chargée de produit en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1102,Conseiller / Conseillère en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1103,Courtier / Courtière en assurance,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1104,Responsable d'agence en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1105,Actuaire,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1106,Expert / Experte risques en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1107,Chargé / Chargée d'indemnisations en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1108,Responsable de département en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1109,Gestionnaire en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1110,Souscripteur / Souscriptrice en assurances,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1111,Mandataire en assurance,2024-10-08
"C- Banque, Assurance, Immobilier",C11- Assurance,C1112,Agent général / Agente générale d'assurance,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1201,Chargé / Chargée d'accueil en banque,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1202,Analyste de crédits et risques bancaires,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1203,Chargé / Chargée d'affaires bancaires entreprise,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1204,Gestionnaire de produits bancaires,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1205,Conseiller / Conseillère en gestion de patrimoine,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1206,Conseiller / Conseillère de clientèle bancaire,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1207,Directeur / Directrice d'agence bancaire,2024-10-08
"C- Banque, Assurance, Immobilier",C12- Banque,C1208,Courtier / Courtière en banque,2024-10-08
"C- Banque, Assurance, Immobilier",C13- Finance,C1301,Trader,2024-10-08
"C- Banque, Assurance, Immobilier",C13- Finance,C1302,Gestionnaire des opérations sur les marchés financiers,2024-10-08
"C- Banque, Assurance, Immobilier",C13- Finance,C1303,Gérant / Gérante de portefeuille financier,2024-10-08
"C- Banque, Assurance, Immobilier",C14- Gestion administrative banque et assurances,C1401,Agent administratif / Agente administrative banque ou assurance,2024-10-08
"C- Banque, Assurance, Immobilier",C15- Immobilier,C1501,Gestionnaire de copropriété,2024-10-08
"C- Banque, Assurance, Immobilier",C15- Immobilier,C1502,Chargé / Chargée de gestion locative en immobilier,2024-10-08
"C- Banque, Assurance, Immobilier",C15- Immobilier,C1503,Chargé / Chargée d'opérations immobilières,2024-10-08
"C- Banque, Assurance, Immobilier",C15- Immobilier,C1504,Conseiller / Conseillère immobilier,2024-10-08
"C- Banque, Assurance, Immobilier",C15- Immobilier,C1505,Responsable d'agence immobilière,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1101,Boucher / Bouchère,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1102,Boulanger / Boulangère,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1103,Charcutier-traiteur / Charcutière-traiteuse,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1104,Pâtissier / Pâtissière,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1105,Poissonnier / Poissonnière,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1106,Épicier / Épicière,2024-10-08
"D- Commerce, Vente et Grande distribution",D11- Commerce alimentaire et métiers de bouche,D1107,Grossiste en produits frais,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1201,Brocanteur / Brocanteuse,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1202,Coiffeur / Coiffeuse,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1203,Agent thermal / Agente thermale,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1204,Loueur / Loueuse de véhicules,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1205,Employé / Employée de pressing,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1206,Cordonnier / Cordonnière,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1207,Retoucheur / Retoucheuse en habillement,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1208,Esthéticien / Esthéticienne,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1209,Fleuriste,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1210,Vendeur / Vendeuse en animalerie,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1211,Vendeur / Vendeuse d'articles de sport et loisirs,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1212,Vendeur / Vendeuse en équipement de la maison,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1213,Vendeur / Vendeuse grossiste de matériels et équipements,2024-10-08
"D- Commerce, Vente et Grande distribution",D12- Commerce non alimentaire et de prestations de confort,D1214,Vendeur / Vendeuse en prêt-à-porter,2024-10-08
"D- Commerce, Vente et Grande distribution",D13- Direction de magasin de détail,D1301,Responsable de magasin,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1401,Assistant commercial / Assistante commerciale,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1402,Commercial / Commerciale grands comptes et entreprises,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1403,Commercial / Commerciale auprès des particuliers,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1404,Commercial / Commerciale en automobiles,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1405,Délégué médical / Déléguée médicale,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1406,Chef / Cheffe des ventes,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1407,Technico-commercial / Technico-commerciale,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1408,Téléconseiller / Téléconseillère,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1409,Assistant / Assistante administration des ventes,2024-10-08
"D- Commerce, Vente et Grande distribution",D14- Force de vente,D1410,Attaché commercial / Attachée commerciale,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1501,Animateur / Animatrice des ventes,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1502,Chef / Cheffe de rayon alimentaire,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1503,Chef / Cheffe de rayon de produits non alimentaires,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1504,Directeur / Directrice de magasin,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1505,Caissier / Caissière,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1506,Marchandiseur / Marchandiseuse,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1507,Employé / Employée de libre-service,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1508,Responsable de caisses,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1509,Responsable de département en grande distribution,2024-10-08
"D- Commerce, Vente et Grande distribution",D15- Grande distribution,D1510,Chef / Cheffe de secteur commercial,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1101,Community manager,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1102,Écrivain / Écrivaine,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1103,Chargé / Chargée de communication,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1104,Concepteur / Conceptrice de contenus multimedia,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1105,Éditeur / Éditrice,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1106,Journaliste,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1107,Chef / Cheffe de projet événementiel,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1108,Traducteur / Traductrice,2024-10-08
"E- Communication, Média et Multimédia",E11- Edition et communication,E1109,Directeur / Directrice de la communication,2024-10-08
"E- Communication, Média et Multimédia",E12- Images et sons,E1201,Photographe,2024-10-08
"E- Communication, Média et Multimédia",E12- Images et sons,E1202,Employé / Employée de laboratoire cinématographique,2024-10-08
"E- Communication, Média et Multimédia",E12- Images et sons,E1203,Développeur / Développeuse de photographies,2024-10-08
"E- Communication, Média et Multimédia",E12- Images et sons,E1204,Projectionniste,2024-10-08
"E- Communication, Média et Multimédia",E12- Images et sons,E1205,Graphiste,2024-10-08
"E- Communication, Média et Multimédia",E12- Images et sons,E1206,UX - UI Designer,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1301,Conducteur / Conductrice de machines d'impression,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1302,Conducteur / Conductrice de machines de façonnage routage,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1303,Responsable d'atelier d'impression,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1304,Agent / Agente de façonnage et routage,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1305,Correcteur / Correctrice,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1306,Opérateur / Opératrice de prépresse,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1307,Reprographe,2024-10-08
"E- Communication, Média et Multimédia",E13- Industries graphiques,E1308,Technicien / Technicienne des industries graphiques,2024-10-08
"E- Communication, Média et Multimédia",E14- Publicité,E1401,Chef / Cheffe de publicité,2024-10-08
"E- Communication, Média et Multimédia",E14- Publicité,E1402,Média planneur / planneuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1101,Architecte,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1102,Architecte d'intérieur,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1103,Diagnostiqueur / Diagnostiqueuse immobilier,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1104,Dessinateur / Dessinatrice du BTP,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1105,Géologue,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1106,Ingénieur / Ingénieure d'études BTP,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1107,Géomètre-topographe,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1108,Métreur / Métreuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1109,Assistant / Assistante géomètre,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1110,Dessinateur / Dessinatrice enveloppe du bâtiment,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1111,Ingénieur / Ingénieure génie civil,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1112,Ingénieur / Ingénieure calcul et structure,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1113,Chargé / Chargée d'affaires en rénovation énergétique,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F11- Conception et études,F1114,Conseiller / Conseillère en rénovation énergétique,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F12- Conduite et encadrement de chantier - travaux,F1201,Conducteur / Conductrice de travaux,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F12- Conduite et encadrement de chantier - travaux,F1202,Chef / Cheffe de chantier,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F12- Conduite et encadrement de chantier - travaux,F1203,Responsable d'exploitation de gisements et de carrières,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F12- Conduite et encadrement de chantier - travaux,F1204,Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F12- Conduite et encadrement de chantier - travaux,F1205,Responsable de travaux BTP,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F13- Engins de chantier,F1301,Grutier / Grutière,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F13- Engins de chantier,F1302,Conducteur / Conductrice d'engins de chantier,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F14- Extraction,F1401,Foreur / Foreuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F14- Extraction,F1402,Extracteur / Extractrice de roches,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F15- Montage de structures,F1501,Charpentier bois poseur / Charpentière bois poseuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F15- Montage de structures,F1502,Échafaudeur / Échafaudeuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F15- Montage de structures,F1503,Charpentier / Charpentière,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1601,Plâtrier / Plâtrière,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1602,Électricien / Électricienne du bâtiment,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1603,Plombier / Plombière,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1604,Plaquiste,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1605,Électricien / Électricienne réseaux,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1606,Peintre en bâtiment,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1607,Menuisier / Menuisière aluminium,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1608,Carreleur / Carreleuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1609,Solier-moquettiste / Solière-moquettiste,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1610,Monteur / Monteuse de panneaux photovoltaïques,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1611,Façadier / Façadière,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1612,Tailleur / Tailleuse de pierre,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1613,Étancheur / Étancheuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1614,Poseur / Poseuse en fermetures de bâtiment,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1615,Poseur / Poseuse de cloisons démontables et mobiles,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1616,Poseur / Poseuse de menuiseries extérieures,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1617,Poseur / Poseuse de véranda,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1618,Poseur / Poseuse de façade vitrée,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1619,Couvreur / Couvreuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F16- Second oeuvre,F1620,Installateur / Installatrice chauffage et climatisation,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1701,Coffreur / Coffreuse,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1702,Ouvrier / Ouvrière en voiries,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1703,Maçon / Maçonne,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1704,Manœuvre bâtiment,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1705,Canalisateur / Canalisatrice,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1706,Armaturier / Armaturière de l'industrie du béton,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1707,Maçon / Maçonne du paysage,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1708,Installateur-poseur / Installatrice-poseuse de piscines préfabriquées,2024-10-08
"F- Construction, Bâtiment et Travaux publics",F17- Travaux et gros oeuvre,F1709,Démolisseur / Démolisseuse,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G11- Accueil et promotion touristique,G1101,Hôte / Hôtesse d'accueil tourisme,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G11- Accueil et promotion touristique,G1102,Chargé / Chargée de mission tourisme,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1201,Guide touristique,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1202,Animateur / Animatrice d'activités culturelles et de loisirs,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1203,Animateur / Animatrice auprès des jeunes,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1204,Éducateur sportif / Éducatrice sportive,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1205,Opérateur / Opératrice d'attraction,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1206,Croupier / Croupière,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1207,Surveillant / Surveillante de baignade,2024-10-08
"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G12- Animation d'activités de loisirs,G1208,Entraîneur / Entraîneure de sport professionnel et de haut niveau,2024-10-08
